1	34.94314422	36.09458632	46.38352918	40.6633367
2	38.26081986	46.654477	47.38767537	42.82424762
3	42.70493587	44.94948408	47.68958304	45.19725946
4	46.77370901	51.59767587	56.3581715	51.56594026
5	46.43533601	48.02588632	49.39809006	47.91671304
6	41.66437207	41.89338203	53.86326728	47.76381968
7	41.77095833	42.81151972	44.85326465	43.31211149
8	44.57789718	45.05857119	48.25637809	46.41713764
9	46.02728072	48.55265998	50.15970357	48.09349215
10	47.31280627	49.66020168	51.81775307	49.56527967
11	40.46196992	49.36228198	52.42225355	46.44211174
12	43.16064531	44.47900805	47.58547932	45.37306232
13	41.54298855	48.27102645	53.31568803	47.42933829
14	39.54627664	42.15277313	47.05612064	43.30119864
15	44.39901877	44.66401435	48.32773835	46.36337856
16	43.51656453	44.64474186	46.37604327	44.9463039
17	42.14625375	45.87716965	50.37777729	46.26201552
18	50.41273176	54.77182986	57.52253333	53.96763255
19	39.46216713	45.94380234	52.33637534	45.89927124
20	34.80786545	48.61522084	49.00689692	41.90738119
