66	2015-02-22	545	534	525	54352411392	54322252032	54298140672	50.62	50.59	50.57
67	2015-02-23	545	534	525	54396360192	54365313792	54340476672	50.66	50.63	50.61
68	2015-02-24	546	534	525	54440389632	54408375552	54382812672	50.70	50.67	50.65
69	2015-02-25	546	535	525	54484419072	54451517952	54425148672	50.74	50.71	50.69
70	2015-02-26	547	535	526	54528529152	54494660352	54467565312	50.78	50.75	50.73
71	2015-02-27	547	535	526	54572639232	54537802752	54509981952	50.82	50.79	50.77
72	2015-02-28	548	536	526	54616829952	54581025792	54552398592	50.87	50.83	50.81
73	2015-03-01	548	536	526	54661020672	54624248832	54594815232	50.91	50.87	50.85
74	2015-03-02	549	536	526	54705292032	54667471872	54637231872	50.95	50.91	50.88
75	2015-03-03	549	537	527	54749563392	54710775552	54679729152	50.99	50.95	50.92
76	2015-03-04	550	537	527	54793915392	54754079232	54722226432	51.03	50.99	50.96
77	2015-03-05	550	537	527	54838267392	54797382912	54764723712	51.07	51.03	51.00
78	2015-03-06	551	538	527	54882700032	54840767232	54807220992	51.11	51.07	51.04
79	2015-03-07	551	538	527	54927132672	54884151552	54849718272	51.15	51.11	51.08
80	2015-03-08	552	538	528	54971645952	54927535872	54892296192	51.20	51.16	51.12
81	2015-03-09	552	539	528	55016159232	54971000832	54934874112	51.24	51.20	51.16
82	2015-03-10	553	539	528	55060753152	55014465792	54977452032	51.28	51.24	51.20
83	2015-03-11	553	539	528	55105347072	55057930752	55020029952	51.32	51.28	51.24
84	2015-03-12	554	540	528	55150021632	55101476352	55062607872	51.36	51.32	51.28
85	2015-03-13	554	540	529	55194696192	55145021952	55105266432	51.40	51.36	51.32
86	2015-03-14	555	540	529	55239451392	55188567552	55147924992	51.45	51.40	51.36
87	2015-03-15	555	541	529	55284206592	55232193792	55190583552	51.49	51.44	51.40
88	2015-03-16	556	541	529	55329042432	55275820032	55233242112	51.53	51.48	51.44
89	2015-03-17	556	541	529	55373878272	55319446272	55275900672	51.57	51.52	51.48
90	2015-03-18	557	542	530	55418794752	55363153152	55318639872	51.61	51.56	51.52
91	2015-03-19	557	542	530	55463711232	55406860032	55361379072	51.65	51.60	51.56
92	2015-03-20	558	542	530	55508708352	55450566912	55404118272	51.70	51.64	51.60
93	2015-03-21	558	543	530	55553705472	55494354432	55446857472	51.74	51.68	51.64
94	2015-03-22	559	543	530	55598783232	55538141952	55489596672	51.78	51.72	51.68
95	2015-03-23	559	543	531	55643860992	55581929472	55532416512	51.82	51.76	51.72
96	2015-03-24	560	544	531	55689019392	55625797632	55575236352	51.86	51.81	51.76
97	2015-03-25	560	544	531	55734177792	55669665792	55618056192	51.91	51.85	51.80
98	2015-03-26	561	544	531	55779416832	55713533952	55660876032	51.95	51.89	51.84
